,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_n_estimators,param_max_depth,param_min_samples_split,param_n_jobs,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
19,0.14514541625976562,0.003907325378209661,0.009600067138671875,0.002927373175184317,10,,10,,,"{'max_depth': 10, 'min_samples_leaf': 10}",0.978021978021978,0.9560439560439561,0.9340659340659341,0.945054945054945,0.9340659340659341,0.9494505494505494,0.01644684565614918,47
37,0.14911484718322754,0.003967590626891075,0.01059412956237793,0.0007997752000010089,10,,,3,,"{'min_samples_leaf': 10, 'min_samples_split': 3}",0.978021978021978,0.9560439560439561,0.9340659340659341,0.945054945054945,0.9340659340659341,0.9494505494505494,0.01644684565614918,47
17,0.1417695999145508,0.011688741141894263,0.010447120666503907,0.005713798471384112,5,,10,,,"{'max_depth': 10, 'min_samples_leaf': 5}",0.978021978021978,0.945054945054945,0.9340659340659341,0.945054945054945,0.945054945054945,0.9494505494505494,0.014906219743132446,47
38,0.13627867698669432,0.007691908673866846,0.010253810882568359,0.005708468909018681,10,,,5,,"{'min_samples_leaf': 10, 'min_samples_split': 5}",0.978021978021978,0.9560439560439561,0.9340659340659341,0.9340659340659341,0.9340659340659341,0.9472527472527472,0.01758241758241757,53
6,0.1419818878173828,0.005461189071690938,0.012459516525268555,0.004137054796066305,10,100,,,,"{'min_samples_leaf': 10, 'n_estimators': 100}",0.978021978021978,0.9560439560439561,0.9340659340659341,0.9340659340659341,0.9340659340659341,0.9472527472527472,0.01758241758241757,53
5,0.29424152374267576,0.014216622792271854,0.01624441146850586,0.00886607370331172,7,200,,,,"{'min_samples_leaf': 7, 'n_estimators': 200}",0.978021978021978,0.9560439560439561,0.9120879120879121,0.9560439560439561,0.9340659340659341,0.9472527472527472,0.022413272587221034,53
34,0.13976435661315917,0.013010627243188619,0.01064753532409668,0.005712213610087174,7,,,5,,"{'min_samples_leaf': 7, 'min_samples_split': 5}",0.967032967032967,0.9560439560439561,0.9340659340659341,0.9340659340659341,0.945054945054945,0.9472527472527472,0.012815278889769894,53
4,0.17299833297729492,0.016157381396981613,0.01518096923828125,0.00483494370433581,7,100,,,,"{'min_samples_leaf': 7, 'n_estimators': 100}",0.978021978021978,0.945054945054945,0.9120879120879121,0.9560439560439561,0.945054945054945,0.9472527472527472,0.021308482889742106,53
23,0.14276695251464844,0.005183199912737162,0.00532379150390625,0.006682690160653669,10,,12,,,"{'max_depth': 12, 'min_samples_leaf': 10}",0.978021978021978,0.9560439560439561,0.9230769230769231,0.945054945054945,0.9340659340659341,0.9472527472527472,0.018906209378115643,53
29,0.19470505714416503,0.020865190345515962,0.01592392921447754,0.012396550318268579,5,,,3,,"{'min_samples_leaf': 5, 'min_samples_split': 3}",0.967032967032967,0.9560439560439561,0.9340659340659341,0.945054945054945,0.9340659340659341,0.9472527472527472,0.012815278889769894,53
7,0.2701927661895752,0.010483035266174758,0.014078330993652344,0.005538061719790708,10,200,,,,"{'min_samples_leaf': 10, 'n_estimators': 200}",0.978021978021978,0.9560439560439561,0.9230769230769231,0.9340659340659341,0.9340659340659341,0.945054945054945,0.019657740461536594,60
22,0.14797663688659668,0.012754354972947506,0.009792327880859375,0.005486012501905103,7,,12,,,"{'max_depth': 12, 'min_samples_leaf': 7}",0.978021978021978,0.9560439560439561,0.9230769230769231,0.9340659340659341,0.9340659340659341,0.945054945054945,0.019657740461536594,60
39,0.16302294731140138,0.06557331459692137,0.020154666900634766,0.00906147957412722,10,,,10,,"{'min_samples_leaf': 10, 'min_samples_split': 10}",0.978021978021978,0.945054945054945,0.9230769230769231,0.945054945054945,0.9230769230769231,0.9428571428571428,0.020143189867937727,62
36,0.15211877822875977,0.011032080212954822,0.011193656921386718,0.0015991151503368759,10,,,2,,"{'min_samples_leaf': 10, 'min_samples_split': 2}",0.978021978021978,0.9560439560439561,0.9230769230769231,0.9340659340659341,0.9230769230769231,0.9428571428571428,0.021308482889742082,62
15,0.1329651355743408,0.007349799903707024,0.01631770133972168,0.00588676579067242,10,,8,,,"{'max_depth': 8, 'min_samples_leaf': 10}",0.967032967032967,0.9560439560439561,0.9230769230769231,0.9340659340659341,0.9340659340659341,0.9428571428571428,0.016150481820548422,62
